,On,Thursday,Facebook,announced,a,major,change,to,News,Feed,to,prioritize,posts,from,friends,over,posts,from,publishers
0,On,Thursday,Facebook,announced,a,major,change,prioritize,new,feet,prioritize,Hoots,from,publisher,over,boots,from,publisher,-
1,On,Thursday,Facebook,announced,a,major,change,to,new,feet,to,prioritize,codes,from,friends,over,codes,from,publisher
2,On,Thursday,Facebook,announced,a,major,change,to,new,feet,to,prioritize,posts,from,friends,over,posts,from,publisher
3,On,Thursday,Facebook,announce,a,major,change,prioritize,newsfeed,to,prioritize,post,from,Papa,over,post,from,Papa,shirts
4,On,Thursday,Facebook,announced,a,major,change,to,News,feet,to,prioritize,post,from,friends,over,post,from,publisher
5,Facebook,announced,a,major,change,to,news,post,to,prioritize,post,from,publisher,-,post,from,publisher,-,-
6,On,Thursday,Facebook,announce,a,major,change,to,new,Feed,to,prioritize,post,from,friends,over,post,from,publishers
7,On,Thursday,Facebook,announced,a,major,change,to,new,fee,to,prioritize,post,from,friends,over,post,from,publishers
8,On,Thursday,Facebook,an,awesome,addition,to,post,to,Palestine,post,from,publishers,-,post,from,publishers,-,-
